,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
29855,36.0,,Associate,49113.0,13,MORTGAGE,6000.0,EDUCATION,8.49,0.12,17.0,657.0,Yes,0.0
41822,28.0,female,,75758.0,3,MORTGAGE,3824.0,HOMEIMPROVEMENT,6.89,0.05,6.0,669.0,No,0.0
13180,23.0,female,High School,136650.0,1,RENT,12000.0,PERSONAL,15.28,0.09,3.0,,No,1.0
35802,41.0,female,Bachelor,90988.0,18,RENT,12000.0,EDUCATION,7.7,0.13,14.0,668.0,No,0.0
12707,23.0,male,Bachelor,102890.0,0,MORTGAGE,10000.0,MEDICAL,10.95,0.1,4.0,589.0,Yes,0.0
886,21.0,male,Associate,14997.0,0,RENT,1000.0,EDUCATION,13.98,0.07,2.0,669.0,Yes,0.0
7174,22.0,male,Associate,92486.0,0,RENT,7000.0,EDUCATION,11.12,0.08,2.0,662.0,No,0.0
29790,42.0,male,Bachelor,32459.0,15,RENT,4000.0,DEBTCONSOLIDATION,9.99,0.12,17.0,581.0,Yes,0.0
9824,24.0,female,Master,36842.0,4,RENT,9000.0,EDUCATION,15.58,0.24,3.0,530.0,No,1.0
38084,30.0,female,Master,83869.0,8,MORTGAGE,20000.0,EDUCATION,9.22,0.24,6.0,655.0,No,0.0
39104,24.0,male,Associate,109137.0,2,RENT,15000.0,HOMEIMPROVEMENT,16.26,0.14,4.0,624.0,Yes,0.0
43114,25.0,male,Bachelor,75268.0,6,RENT,20240.0,MEDICAL,16.87,0.27,4.0,700.0,No,
27283,28.0,female,Bachelor,74850.0,5,RENT,15000.0,MEDICAL,10.37,0.2,6.0,654.0,No,0.0
1024,24.0,male,Bachelor,85246.0,2,RENT,18000.0,HOMEIMPROVEMENT,9.88,0.21,2.0,591.0,Yes,0.0
1371,25.0,female,Associate,42802.0,3,RENT,1000.0,MEDICAL,13.98,0.02,3.0,631.0,Yes,0.0
6399,24.0,male,Bachelor,46687.0,1,RENT,6000.0,DEBTCONSOLIDATION,10.39,0.13,2.0,621.0,Yes,0.0
35778,25.0,male,Master,18339.0,1,RENT,2000.0,VENTURE,10.55,0.11,4.0,690.0,Yes,0.0
3610,25.0,male,Bachelor,62994.0,3,RENT,3625.0,HOMEIMPROVEMENT,6.54,0.06,3.0,580.0,No,0.0
44121,,male,Bachelor,51197.0,8,RENT,15000.0,VENTURE,11.28,0.29,9.0,661.0,No,1.0
6821,22.0,male,Bachelor,80150.0,0,RENT,6000.0,EDUCATION,9.99,0.07,4.0,661.0,No,0.0
13745,26.0,male,Associate,130482.0,5,RENT,13000.0,HOMEIMPROVEMENT,15.99,0.1,3.0,691.0,No,1.0
14332,23.0,female,Master,127066.0,0,MORTGAGE,7200.0,VENTURE,7.51,0.06,3.0,706.0,Yes,0.0
4874,26.0,,High School,51463.0,6,MORTGAGE,15075.0,EDUCATION,12.92,0.29,2.0,697.0,Yes,0.0
19851,30.0,male,Bachelor,51370.0,9,RENT,11000.0,EDUCATION,12.53,0.21,9.0,637.0,Yes,0.0
29301,45.0,male,Doctorate,45165.0,25,RENT,20000.0,HOMEIMPROVEMENT,11.71,0.44,15.0,579.0,No,1.0
17085,22.0,male,Master,39714.0,1,MORTGAGE,2500.0,EDUCATION,6.99,0.06,2.0,555.0,Yes,0.0
26806,30.0,female,Doctorate,137795.0,6,MORTGAGE,9975.0,DEBTCONSOLIDATION,5.42,0.07,10.0,635.0,No,0.0
17283,21.0,female,High School,26715.0,0,OWN,7125.0,VENTURE,6.99,0.27,3.0,658.0,Yes,0.0
5028,23.0,male,High School,48610.0,4,RENT,5000.0,MEDICAL,14.84,0.1,2.0,577.0,No,1.0
9969,25.0,female,Master,67088.0,3,RENT,9000.0,HOMEIMPROVEMENT,11.11,0.13,2.0,,Yes,0.0
14243,23.0,,Associate,123540.0,0,MORTGAGE,6000.0,PERSONAL,7.51,0.05,2.0,681.0,No,0.0
10086,24.0,female,High School,45734.0,1,RENT,9500.0,MEDICAL,10.99,0.21,2.0,581.0,No,0.0
26476,28.0,male,Master,124557.0,4,MORTGAGE,10000.0,VENTURE,7.51,0.08,10.0,578.0,Yes,0.0
17856,31.0,male,Master,181289.0,9,RENT,35000.0,EDUCATION,18.25,0.19,6.0,686.0,No,1.0
5451,25.0,male,Master,55050.0,1,MORTGAGE,5000.0,MEDICAL,7.88,0.09,3.0,581.0,No,0.0
16049,24.0,male,Bachelor,65630.0,1,MORTGAGE,1500.0,PERSONAL,14.42,0.02,4.0,630.0,No,1.0
44731,24.0,female,High School,66047.0,1,RENT,5200.0,DEBTCONSOLIDATION,11.01,0.08,3.0,620.0,No,1.0
804,23.0,male,Bachelor,27666.0,0,MORTGAGE,1550.0,DEBTCONSOLIDATION,7.49,0.06,2.0,658.0,No,1.0
35228,25.0,male,Master,101643.0,2,MORTGAGE,20000.0,PERSONAL,13.76,0.2,2.0,662.0,No,0.0
31162,44.0,male,Associate,96838.0,18,MORTGAGE,10000.0,MEDICAL,6.03,0.1,15.0,652.0,No,
39885,,female,Bachelor,72907.0,4,MORTGAGE,6000.0,PERSONAL,11.25,0.08,10.0,655.0,Yes,0.0
25740,28.0,female,High School,94566.0,7,MORTGAGE,10000.0,VENTURE,15.99,0.11,7.0,655.0,No,1.0
29762,45.0,male,High School,46026.0,19,MORTGAGE,5000.0,DEBTCONSOLIDATION,11.49,0.11,16.0,672.0,Yes,0.0
42231,22.0,female,Associate,51077.0,0,RENT,7000.0,MEDICAL,15.35,0.14,4.0,589.0,No,1.0
20970,,male,Associate,60849.0,11,RENT,5000.0,MEDICAL,11.14,0.08,8.0,594.0,Yes,0.0
25238,29.0,female,Bachelor,92136.0,11,MORTGAGE,4400.0,DEBTCONSOLIDATION,16.29,0.05,10.0,608.0,No,1.0
31964,37.0,male,Associate,72806.0,15,RENT,3000.0,EDUCATION,12.53,0.04,15.0,617.0,Yes,0.0
26212,33.0,male,Bachelor,118296.0,10,MORTGAGE,4000.0,VENTURE,10.99,0.03,9.0,635.0,Yes,0.0
17403,22.0,male,Associate,29634.0,0,OWN,2500.0,VENTURE,10.59,0.08,2.0,676.0,Yes,0.0
42027,25.0,male,Associate,66018.0,3,MORTGAGE,,PERSONAL,10.09,0.06,3.0,657.0,No,0.0
41151,26.0,male,Bachelor,69788.0,1,MORTGAGE,9000.0,EDUCATION,13.91,0.13,5.0,608.0,Yes,0.0
26770,27.0,female,Bachelor,135781.0,4,MORTGAGE,13000.0,EDUCATION,13.57,0.1,10.0,537.0,No,0.0
44931,26.0,male,Associate,62135.0,3,RENT,16269.0,MEDICAL,15.17,0.26,8.0,623.0,No,1.0
39037,22.0,female,Associate,43113.0,0,RENT,5000.0,MEDICAL,11.42,0.12,3.0,667.0,No,0.0
40485,39.0,male,High School,150790.0,16,MORTGAGE,8877.0,EDUCATION,7.4,0.06,12.0,617.0,No,0.0
34120,26.0,female,High School,52903.0,3,RENT,4000.0,MEDICAL,11.91,0.08,4.0,614.0,Yes,0.0
35654,22.0,male,High School,31011.0,2,RENT,2993.0,EDUCATION,11.84,0.1,3.0,630.0,Yes,
1644,,female,High School,70625.0,0,RENT,1500.0,EDUCATION,5.42,0.02,2.0,,Yes,0.0
19608,30.0,male,Associate,94571.0,6,RENT,,VENTURE,11.97,0.03,6.0,564.0,Yes,0.0
39751,25.0,female,Associate,93257.0,3,MORTGAGE,21925.0,EDUCATION,10.12,0.24,5.0,625.0,Yes,0.0
21977,27.0,female,High School,62326.0,1,OWN,12000.0,PERSONAL,7.49,0.19,7.0,626.0,Yes,0.0
6305,26.0,male,,41807.0,2,RENT,6000.0,DEBTCONSOLIDATION,12.69,0.14,4.0,648.0,No,0.0
42124,31.0,male,Master,44066.0,7,MORTGAGE,6928.0,DEBTCONSOLIDATION,6.84,0.16,7.0,655.0,No,1.0
42474,26.0,female,Bachelor,37149.0,4,RENT,3000.0,DEBTCONSOLIDATION,13.64,0.08,4.0,690.0,No,1.0
22326,,female,Master,36983.0,7,RENT,7000.0,MEDICAL,15.62,0.19,6.0,654.0,No,1.0
29806,36.0,female,Bachelor,36655.0,17,RENT,4000.0,VENTURE,17.99,0.11,15.0,705.0,No,1.0
43745,23.0,female,Master,36983.0,0,RENT,10000.0,MEDICAL,9.0,0.27,4.0,693.0,No,1.0
17526,22.0,female,Master,129241.0,2,MORTGAGE,24000.0,HOMEIMPROVEMENT,19.69,0.19,4.0,608.0,No,1.0
7944,25.0,male,Master,63385.0,0,RENT,7000.0,HOMEIMPROVEMENT,10.59,0.11,2.0,,No,0.0
16535,21.0,male,Associate,36946.0,0,MORTGAGE,3000.0,MEDICAL,5.99,0.08,3.0,650.0,Yes,0.0
24982,31.0,female,,95764.0,5,MORTGAGE,19150.0,MEDICAL,6.99,0.2,7.0,573.0,Yes,0.0
22807,29.0,male,Associate,32777.0,4,RENT,7750.0,MEDICAL,14.27,0.24,7.0,675.0,No,1.0
18641,35.0,female,Master,65995.0,14,RENT,17250.0,DEBTCONSOLIDATION,19.42,0.26,10.0,683.0,No,1.0
30044,39.0,male,Bachelor,55172.0,12,MORTGAGE,8625.0,VENTURE,11.01,0.16,13.0,650.0,No,0.0
29810,36.0,male,Associate,40863.0,15,RENT,4000.0,PERSONAL,11.01,0.1,17.0,613.0,No,1.0
41338,23.0,male,Bachelor,27519.0,3,RENT,2500.0,DEBTCONSOLIDATION,8.14,0.09,2.0,631.0,Yes,0.0
43667,25.0,female,Associate,95778.0,1,RENT,11160.0,MEDICAL,15.44,0.12,3.0,673.0,No,1.0
44191,23.0,male,Master,80465.0,0,RENT,11785.0,HOMEIMPROVEMENT,16.72,0.15,3.0,588.0,No,1.0
31806,40.0,male,Master,180910.0,17,MORTGAGE,20000.0,PERSONAL,12.99,0.11,14.0,635.0,Yes,0.0
22119,28.0,female,Bachelor,47987.0,5,RENT,6500.0,VENTURE,11.89,0.14,6.0,654.0,No,0.0
32244,39.0,male,Associate,22955.0,19,RENT,1200.0,EDUCATION,14.74,0.05,17.0,721.0,No,1.0
44215,29.0,female,Associate,36991.0,7,RENT,5425.0,HOMEIMPROVEMENT,15.24,0.15,6.0,623.0,No,1.0
43280,24.0,male,High School,26740.0,0,RENT,5000.0,DEBTCONSOLIDATION,13.05,0.19,4.0,567.0,No,1.0
26535,27.0,male,High School,36717.0,9,OWN,1800.0,EDUCATION,14.84,0.05,5.0,694.0,No,0.0
32124,41.0,male,High School,458692.0,18,MORTGAGE,35000.0,PERSONAL,13.49,0.08,16.0,676.0,Yes,0.0
43002,23.0,female,Bachelor,65778.0,3,RENT,20000.0,VENTURE,11.13,0.3,2.0,641.0,No,1.0
33393,24.0,male,Bachelor,98274.0,1,MORTGAGE,10000.0,PERSONAL,15.18,0.1,5.0,637.0,No,0.0
39068,34.0,female,Associate,49375.0,11,RENT,4800.0,EDUCATION,11.23,0.1,13.0,632.0,Yes,0.0
8667,25.0,,Associate,37261.0,2,RENT,8000.0,PERSONAL,12.87,0.21,4.0,661.0,Yes,0.0
18527,30.0,,High School,73006.0,11,RENT,18950.0,PERSONAL,15.96,0.26,6.0,651.0,No,1.0
21636,27.0,male,Associate,48607.0,0,RENT,6000.0,EDUCATION,11.28,0.12,7.0,599.0,Yes,0.0
34336,23.0,male,Associate,49102.0,0,MORTGAGE,6000.0,MEDICAL,12.68,0.12,4.0,678.0,Yes,0.0
23980,34.0,female,Master,82664.0,12,MORTGAGE,15000.0,EDUCATION,11.78,0.18,5.0,689.0,No,0.0
21357,32.0,,,14686.0,7,RENT,5600.0,PERSONAL,13.48,0.38,10.0,666.0,No,1.0
997,23.0,,High School,30483.0,0,OWN,8000.0,PERSONAL,5.79,0.26,3.0,574.0,Yes,0.0
8245,23.0,female,High School,68330.0,2,MORTGAGE,4000.0,EDUCATION,11.49,0.06,4.0,623.0,Yes,0.0
4560,24.0,female,High School,50554.0,5,OWN,5600.0,PERSONAL,6.03,0.11,3.0,692.0,No,0.0
23305,31.0,male,Associate,79178.0,10,RENT,8000.0,MEDICAL,6.99,0.1,9.0,575.0,Yes,0.0
17962,27.0,male,Bachelor,58795.0,3,RENT,25000.0,PERSONAL,10.59,0.43,7.0,564.0,No,1.0
27802,30.0,female,Associate,43799.0,6,RENT,19000.0,EDUCATION,13.72,0.43,7.0,645.0,No,1.0
30807,41.0,male,,78896.0,19,MORTGAGE,20000.0,HOMEIMPROVEMENT,12.21,0.25,13.0,596.0,Yes,0.0
21994,,female,Bachelor,67634.0,7,RENT,7000.0,HOMEIMPROVEMENT,10.28,0.1,6.0,622.0,Yes,0.0
7859,23.0,,High School,67168.0,0,MORTGAGE,4400.0,EDUCATION,10.59,0.07,3.0,643.0,Yes,0.0
21490,31.0,,Associate,58790.0,9,MORTGAGE,6600.0,MEDICAL,7.14,0.11,5.0,625.0,Yes,0.0
17852,33.0,male,,166773.0,10,RENT,35000.0,PERSONAL,18.64,0.21,7.0,664.0,No,1.0
18076,32.0,male,Bachelor,96904.0,12,RENT,25000.0,VENTURE,11.01,0.26,8.0,653.0,No,1.0
29558,44.0,female,Bachelor,121035.0,21,RENT,13500.0,EDUCATION,8.9,0.11,17.0,600.0,No,0.0
23015,32.0,female,Bachelor,73058.0,8,MORTGAGE,7125.0,VENTURE,9.99,0.1,7.0,653.0,Yes,0.0
21472,,female,Bachelor,23663.0,6,RENT,6000.0,PERSONAL,10.65,0.25,6.0,618.0,No,1.0
34713,34.0,male,Bachelor,59682.0,11,MORTGAGE,2400.0,DEBTCONSOLIDATION,7.18,0.04,5.0,600.0,Yes,0.0
3085,24.0,male,Bachelor,93646.0,0,RENT,3350.0,PERSONAL,11.01,0.04,3.0,619.0,Yes,0.0
19861,31.0,female,Bachelor,57413.0,10,RENT,11000.0,MEDICAL,11.14,0.19,9.0,714.0,Yes,0.0
41485,35.0,,Bachelor,241095.0,9,MORTGAGE,3007.0,PERSONAL,7.3,0.01,10.0,611.0,Yes,0.0
16718,25.0,male,Associate,66771.0,2,RENT,6000.0,DEBTCONSOLIDATION,10.65,0.09,2.0,664.0,Yes,0.0
30629,41.0,male,High School,65925.0,16,MORTGAGE,5000.0,VENTURE,13.23,0.08,12.0,678.0,No,1.0
1716,23.0,male,Bachelor,35492.0,0,OWN,3000.0,PERSONAL,11.11,0.08,4.0,654.0,Yes,0.0
26301,31.0,male,Master,94689.0,6,RENT,14000.0,DEBTCONSOLIDATION,9.63,0.15,9.0,589.0,Yes,0.0
19303,31.0,female,Master,60941.0,7,RENT,2500.0,HOMEIMPROVEMENT,17.04,0.04,10.0,582.0,Yes,0.0
19312,27.0,male,Associate,68103.0,3,RENT,2500.0,DEBTCONSOLIDATION,11.72,0.04,5.0,602.0,No,1.0
20043,,female,Bachelor,46824.0,11,OWN,12600.0,MEDICAL,11.01,0.27,8.0,673.0,Yes,0.0
10089,24.0,female,Bachelor,71730.0,2,OWN,12000.0,MEDICAL,17.74,0.17,2.0,655.0,No,1.0
10808,23.0,male,Bachelor,51415.0,0,RENT,10000.0,MEDICAL,11.01,0.19,4.0,598.0,No,0.0
23924,27.0,male,Master,33591.0,5,RENT,10000.0,DEBTCONSOLIDATION,15.62,0.3,6.0,626.0,No,1.0
43264,46.0,,High School,63567.0,21,RENT,17000.0,HOMEIMPROVEMENT,8.71,0.27,15.0,665.0,No,1.0
42381,23.0,male,,28719.0,0,RENT,7673.0,HOMEIMPROVEMENT,11.7,0.27,4.0,614.0,No,1.0
35908,32.0,male,Master,144925.0,7,MORTGAGE,8000.0,EDUCATION,7.78,0.06,7.0,525.0,Yes,0.0
3927,22.0,male,Bachelor,47831.0,0,MORTGAGE,5325.0,EDUCATION,14.59,0.11,3.0,570.0,Yes,0.0
33038,25.0,male,Master,136599.0,4,MORTGAGE,,VENTURE,12.2,0.13,5.0,738.0,No,0.0
7355,25.0,female,Bachelor,80156.0,5,RENT,6500.0,DEBTCONSOLIDATION,10.25,0.08,3.0,725.0,No,0.0
17811,24.0,male,Master,126865.0,0,RENT,13800.0,HOMEIMPROVEMENT,7.66,0.11,3.0,653.0,Yes,0.0
20745,28.0,female,Associate,51385.0,6,OWN,12000.0,MEDICAL,11.86,0.23,6.0,665.0,No,0.0
15157,25.0,male,Associate,151139.0,5,OWN,15000.0,PERSONAL,7.9,0.1,3.0,670.0,Yes,0.0
11189,22.0,male,Bachelor,87835.0,0,MORTGAGE,5000.0,EDUCATION,11.01,0.06,2.0,673.0,Yes,0.0
22771,35.0,male,High School,49238.0,12,RENT,7550.0,MEDICAL,13.92,0.15,9.0,660.0,Yes,0.0
34846,34.0,male,Bachelor,80166.0,14,RENT,11200.0,HOMEIMPROVEMENT,8.3,0.14,10.0,611.0,No,0.0
14745,24.0,male,Associate,137300.0,4,MORTGAGE,7200.0,EDUCATION,6.99,0.05,2.0,676.0,No,0.0
16492,22.0,male,Master,100539.0,0,OWN,25000.0,EDUCATION,15.95,0.25,2.0,686.0,No,0.0
38613,37.0,male,Master,98561.0,13,MORTGAGE,8043.0,VENTURE,11.27,0.08,12.0,649.0,Yes,0.0
37265,30.0,female,Bachelor,89768.0,7,RENT,5000.0,MEDICAL,10.72,0.06,9.0,669.0,No,0.0
4034,,female,High School,76438.0,0,RENT,,EDUCATION,11.49,0.05,3.0,657.0,Yes,0.0
39403,38.0,female,Master,240705.0,14,MORTGAGE,25000.0,EDUCATION,8.89,0.1,13.0,600.0,No,0.0
36182,24.0,male,Bachelor,87467.0,0,RENT,12000.0,MEDICAL,14.23,0.14,4.0,678.0,Yes,0.0
13251,25.0,male,High School,108849.0,2,MORTGAGE,15000.0,DEBTCONSOLIDATION,8.49,0.14,2.0,644.0,Yes,0.0
36051,27.0,male,,109312.0,8,MORTGAGE,20000.0,HOMEIMPROVEMENT,15.67,0.18,6.0,578.0,Yes,0.0
34411,27.0,male,Bachelor,96876.0,5,RENT,9000.0,EDUCATION,12.17,0.09,8.0,,Yes,0.0
6693,24.0,female,Associate,69542.0,3,RENT,6000.0,VENTURE,7.9,0.09,3.0,668.0,No,0.0
13596,25.0,male,Master,114453.0,3,MORTGAGE,13500.0,HOMEIMPROVEMENT,10.0,0.12,2.0,702.0,No,0.0
35903,,male,Associate,34273.0,2,RENT,2411.0,MEDICAL,5.48,0.07,7.0,684.0,No,0.0
11673,,female,Master,90906.0,0,OWN,12500.0,VENTURE,15.33,0.14,3.0,,Yes,0.0
19155,28.0,male,Associate,43102.0,2,RENT,2400.0,DEBTCONSOLIDATION,7.29,0.06,9.0,591.0,No,1.0
26462,27.0,male,High School,124211.0,4,MORTGAGE,9000.0,DEBTCONSOLIDATION,11.49,0.07,6.0,549.0,Yes,0.0
23077,30.0,male,Master,65793.0,6,MORTGAGE,5000.0,EDUCATION,12.61,0.08,10.0,658.0,No,1.0
32369,54.0,male,Bachelor,48124.0,29,MORTGAGE,20000.0,PERSONAL,10.71,0.42,19.0,704.0,No,0.0
24457,30.0,male,Master,66057.0,9,RENT,10000.0,HOMEIMPROVEMENT,6.17,0.15,10.0,660.0,No,0.0
18089,31.0,female,Associate,217059.0,6,OWN,10000.0,EDUCATION,11.71,0.05,7.0,,Yes,0.0
15666,26.0,male,Bachelor,166615.0,3,MORTGAGE,18000.0,EDUCATION,16.4,0.11,3.0,657.0,No,1.0
9460,,male,Master,80763.0,0,RENT,8000.0,MEDICAL,18.39,0.1,4.0,693.0,No,1.0
43763,26.0,male,Bachelor,47327.0,0,RENT,6000.0,VENTURE,13.19,0.13,3.0,691.0,No,1.0
27063,29.0,male,,144764.0,5,MORTGAGE,5000.0,EDUCATION,7.68,0.03,6.0,639.0,Yes,0.0
39511,26.0,female,Associate,66096.0,0,MORTGAGE,4000.0,HOMEIMPROVEMENT,5.53,0.06,3.0,646.0,Yes,0.0
19372,28.0,male,Bachelor,25179.0,7,RENT,3000.0,VENTURE,11.01,0.12,6.0,652.0,No,0.0
41918,27.0,male,,96055.0,5,MORTGAGE,8000.0,MEDICAL,6.46,0.08,5.0,626.0,No,0.0
17761,21.0,male,High School,31866.0,0,RENT,7750.0,EDUCATION,16.7,0.24,3.0,544.0,No,1.0
3421,25.0,female,High School,37301.0,0,MORTGAGE,10000.0,PERSONAL,9.76,0.27,3.0,594.0,No,1.0
44494,28.0,male,High School,88177.0,1,RENT,29841.0,EDUCATION,11.06,0.34,6.0,,No,1.0
23624,30.0,male,Bachelor,78695.0,9,MORTGAGE,17500.0,PERSONAL,11.01,0.22,8.0,652.0,No,0.0
8178,25.0,female,Bachelor,70878.0,7,RENT,7400.0,EDUCATION,10.36,0.1,2.0,637.0,No,0.0
15458,22.0,male,High School,165648.0,0,MORTGAGE,25000.0,MEDICAL,9.99,0.15,4.0,619.0,Yes,0.0
9208,22.0,male,,25363.0,2,RENT,5000.0,PERSONAL,12.42,0.2,2.0,664.0,No,0.0
18912,28.0,male,Associate,65468.0,3,RENT,1800.0,HOMEIMPROVEMENT,11.01,0.03,7.0,600.0,No,0.0
43863,26.0,female,High School,37101.0,0,RENT,14069.0,MEDICAL,13.16,0.38,7.0,652.0,No,
3394,26.0,female,Associate,55873.0,5,RENT,11000.0,MEDICAL,16.29,0.2,3.0,583.0,No,
17668,24.0,,High School,75892.0,0,RENT,15000.0,EDUCATION,9.45,0.2,2.0,587.0,Yes,
1763,25.0,female,Associate,19130.0,1,RENT,2000.0,MEDICAL,7.88,0.1,4.0,597.0,Yes,0.0
25025,28.0,female,Associate,96650.0,2,MORTGAGE,12000.0,DEBTCONSOLIDATION,6.03,0.12,6.0,621.0,No,0.0
10731,23.0,male,Bachelor,84800.0,4,MORTGAGE,10500.0,EDUCATION,7.51,0.12,2.0,648.0,No,0.0
28649,27.0,male,Master,78734.0,6,RENT,28000.0,PERSONAL,7.9,0.36,10.0,722.0,No,1.0
30835,36.0,male,High School,73229.0,14,MORTGAGE,13000.0,DEBTCONSOLIDATION,14.11,0.18,14.0,689.0,No,1.0
30686,36.0,female,Associate,75539.0,16,RENT,8000.0,DEBTCONSOLIDATION,11.12,0.11,13.0,613.0,No,0.0
9133,25.0,male,Bachelor,41432.0,1,RENT,5075.0,PERSONAL,5.79,0.12,2.0,643.0,Yes,0.0
4856,24.0,male,High School,37192.0,3,RENT,5000.0,HOMEIMPROVEMENT,15.7,0.13,4.0,571.0,No,1.0
4747,21.0,female,High School,36680.0,0,RENT,5000.0,VENTURE,8.59,0.14,2.0,632.0,Yes,0.0
16483,23.0,male,Bachelor,94393.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,12.87,0.08,3.0,604.0,No,1.0
5927,24.0,male,Master,58147.0,0,MORTGAGE,12000.0,DEBTCONSOLIDATION,9.91,0.21,3.0,635.0,Yes,0.0
43034,28.0,male,Bachelor,34005.0,7,RENT,2091.0,DEBTCONSOLIDATION,14.33,0.06,7.0,642.0,No,1.0
19025,29.0,male,Bachelor,63448.0,4,RENT,2000.0,DEBTCONSOLIDATION,13.72,0.03,6.0,650.0,Yes,0.0
7913,23.0,female,High School,67293.0,1,MORTGAGE,5000.0,EDUCATION,11.11,0.07,2.0,609.0,No,0.0
9028,22.0,female,Master,72877.0,0,MORTGAGE,8000.0,EDUCATION,7.14,0.11,2.0,699.0,Yes,0.0
12436,22.0,female,Bachelor,98181.0,0,MORTGAGE,24000.0,EDUCATION,9.88,0.24,2.0,540.0,No,0.0
12968,,female,Bachelor,100305.0,4,RENT,12000.0,HOMEIMPROVEMENT,6.91,0.12,4.0,675.0,Yes,0.0
3797,23.0,female,Associate,47297.0,2,MORTGAGE,5000.0,PERSONAL,9.25,0.11,3.0,674.0,No,0.0
23232,29.0,male,High School,29070.0,9,RENT,5000.0,MEDICAL,11.01,0.17,7.0,454.0,Yes,0.0
7914,25.0,female,Associate,59049.0,3,RENT,7000.0,MEDICAL,7.9,0.12,3.0,640.0,Yes,0.0
18495,31.0,female,Bachelor,28765.0,7,OWN,,PERSONAL,5.79,0.16,9.0,669.0,No,
5845,25.0,male,Master,57345.0,5,MORTGAGE,10400.0,EDUCATION,11.49,0.18,2.0,631.0,Yes,0.0
33278,23.0,male,Master,101871.0,0,MORTGAGE,22603.0,DEBTCONSOLIDATION,11.88,0.22,3.0,669.0,No,0.0
35927,24.0,male,Associate,86886.0,1,RENT,3000.0,HOMEIMPROVEMENT,7.43,0.03,2.0,628.0,Yes,0.0
12332,25.0,male,Master,96842.0,7,MORTGAGE,25000.0,EDUCATION,15.31,0.26,2.0,671.0,No,0.0
14594,23.0,female,Associate,35364.0,0,OWN,12250.0,MEDICAL,7.51,0.35,4.0,639.0,Yes,0.0
42407,,female,,47704.0,4,RENT,,MEDICAL,8.46,0.25,4.0,609.0,No,1.0
10224,23.0,female,High School,66958.0,0,RENT,9600.0,VENTURE,7.49,0.14,2.0,630.0,No,0.0
29873,39.0,male,Master,133001.0,15,RENT,4500.0,HOMEIMPROVEMENT,13.49,0.03,11.0,640.0,Yes,0.0
10425,,female,Master,34618.0,1,RENT,10000.0,EDUCATION,5.42,0.29,3.0,548.0,No,1.0
18598,32.0,female,Bachelor,120927.0,10,RENT,18000.0,PERSONAL,11.01,0.15,5.0,548.0,Yes,0.0
7481,23.0,male,High School,56174.0,0,RENT,6800.0,VENTURE,15.65,0.12,4.0,666.0,No,1.0
42003,37.0,male,High School,79246.0,11,MORTGAGE,10000.0,MEDICAL,11.01,0.13,11.0,675.0,No,0.0
17427,21.0,female,High School,30927.0,0,RENT,5000.0,MEDICAL,16.45,0.16,4.0,681.0,No,1.0
3345,23.0,female,Associate,45480.0,0,RENT,11000.0,EDUCATION,6.62,0.24,3.0,601.0,Yes,0.0
19181,30.0,male,Master,99832.0,5,RENT,2400.0,VENTURE,8.9,0.02,5.0,631.0,Yes,0.0
44355,31.0,female,Bachelor,50963.0,6,RENT,14000.0,DEBTCONSOLIDATION,12.08,0.27,6.0,644.0,No,1.0
24392,30.0,male,Bachelor,60683.0,11,RENT,10000.0,MEDICAL,11.01,0.16,5.0,659.0,No,0.0
23783,28.0,male,Bachelor,78873.0,7,MORTGAGE,,MEDICAL,5.99,0.11,5.0,694.0,No,0.0
31911,40.0,male,Bachelor,660785.0,17,MORTGAGE,18000.0,VENTURE,11.12,0.03,12.0,739.0,No,
13916,26.0,female,High School,118562.0,4,MORTGAGE,14000.0,VENTURE,7.88,0.12,3.0,634.0,Yes,0.0
29504,39.0,female,Associate,36921.0,16,OWN,8000.0,HOMEIMPROVEMENT,9.63,0.22,17.0,641.0,Yes,0.0
32765,35.0,male,Associate,198375.0,10,MORTGAGE,7729.0,DEBTCONSOLIDATION,10.8,0.04,12.0,712.0,No,0.0
34116,26.0,female,Bachelor,44125.0,2,MORTGAGE,14000.0,PERSONAL,12.79,0.32,5.0,626.0,No,0.0
4088,22.0,male,,48904.0,0,MORTGAGE,7500.0,MEDICAL,7.51,0.15,3.0,667.0,Yes,0.0
30956,44.0,male,High School,69289.0,23,RENT,4200.0,MEDICAL,11.01,0.06,13.0,654.0,Yes,0.0
2449,26.0,female,Master,36884.0,4,RENT,2800.0,VENTURE,14.65,0.08,3.0,640.0,Yes,0.0
24967,30.0,female,Bachelor,95660.0,8,MORTGAGE,20000.0,DEBTCONSOLIDATION,13.72,0.21,10.0,,Yes,0.0
30476,,,Associate,73201.0,11,RENT,7200.0,PERSONAL,11.01,0.1,12.0,633.0,Yes,0.0
28845,34.0,male,Bachelor,37114.0,10,RENT,4200.0,MEDICAL,5.79,0.11,8.0,659.0,Yes,0.0
38347,26.0,male,Associate,74174.0,2,MORTGAGE,2000.0,PERSONAL,8.5,0.03,4.0,610.0,Yes,0.0
9022,23.0,female,Bachelor,67416.0,1,RENT,8000.0,EDUCATION,9.25,0.12,2.0,534.0,Yes,0.0
